link,titulo,veredito,tags
https://www.aosfatos.org/noticias/posts-manipulam-video-de-bolsonaro-para-divulgar-plataforma-de-investimentos/,Posts manipulam vídeo de Bolsonaro para divulgar plataforma de investimentos,falso,"['boataria política', 'checagem']"
https://www.aosfatos.org/noticias/video-nao-mostra-rolezinho-convocado-por-oruam-em-apoio-a-poze-do-rodo-no-rj/,Vídeo não mostra ‘rolezinho’ convocado por Oruam em apoio a Poze do Rodo no RJ,falso,"['boataria política', 'checagem']"
https://www.aosfatos.org/noticias/e-antigo-video-que-mostra-porta-avioes-americano-no-litoral-do-rj/,É antigo vídeo que mostra porta-aviões americano no litoral do RJ,falso,"['boataria política', 'checagem']"
https://www.aosfatos.org/noticias/influenciador-nao-disse-que-lula-recebeu-r-35-bilhoes-em-propina-para-regulamentar-bets/,"Influenciador não disse que Lula recebeu R$ 3,5 bilhões em propina para regulamentar bets",falso,"['boataria política', 'checagem']"
https://www.aosfatos.org/noticias/video-em-que-policia-militar-dispersa-bloqueio-em-rodovia-e-de-2022-nao-recente/,"Vídeo em que polícia militar dispersa bloqueio em rodovia é de 2022, não recente",não é bem assim,"['boataria política', 'checagem']"
https://www.aosfatos.org/noticias/video-mostra-palestinos-invadindo-deposito-da-onu-nao-armazem-secreto-do-hamas/,"Vídeo mostra palestinos invadindo depósito da ONU, não armazém secreto do Hamas",falso,"['boataria política', 'checagem']"
https://www.aosfatos.org/noticias/brigitte-macron-nao-e-mulher-trans/,Brigitte Macron não é mulher trans,falso,"['discurso de ódio', 'checagem']"
https://www.aosfatos.org/noticias/apos-atacarem-marina-senadores-escondem-ofensas-acusacoes-ministra/,"Após atacarem Marina, senadores escondem das redes ofensas e acusações à ministra",indisponível,"['discurso de ódio', 'checagem']"
https://www.aosfatos.org/noticias/falso-que-pf-encontrou-12-milhoes-em-cofre-casa-careca-inss/,É falso que PF encontrou R$ 12 milhões em cofre na casa do ‘Careca do INSS’,falso,"['boataria política', 'checagem']"
https://www.aosfatos.org/noticias/posts-usam-video-antigo-para-alegar-que-bolsonaro-foi-aplaudido-durante-julgamento-no-stf/,Posts usam vídeo antigo para alegar que Bolsonaro foi aplaudido durante julgamento no STF,falso,"['boataria política', 'checagem']"
